Deutsch;Englisch
Tradition;la tradition
stattfinden;avoir lieu
anbieten;proposer
Umzug;le défilé
Feuerwerk;le feu d'artifice
Leser;le lecteur
sich amüsieren;s'amuser
ähnlich sein;ressembler
wenn;si
schenken;offrir
sich verteidigen;défendre
Mut;le courage
werfen;jeter
Material;en
Schlüssel;la clé
zerbrechen;casser
verkleiden;se déguiser
jeder;"jede;jedes;chaque"
